"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
21, -6.096000000000000e-02, 4.425738386397544e-03, 1.138319445983057e+00, 7.871137896405527e+01, 5.923473381216764e-05, 2.458505155519248e+05, 9.725167501798856e+04, 2.976208005016284e+02, 1.999368661298546e-01, 1.884752006890328e-01, 1.834636715119195e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
22, -6.096000000000000e-02, 4.040001449122130e-03, 1.138319509586260e+00, 7.871129329173354e+01, 5.407643011048717e-05, 2.458505284948252e+05, 9.725168262556246e+04, 2.976208071537451e+02, 1.999366351055234e-01, 1.884780092052565e-01, 1.834636746717316e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
23, -6.096000000000000e-02, 3.687826125256840e-03, 1.138319562665210e+00, 7.871122183254997e+01, 4.936264936692199e-05, 2.458505392986746e+05, 9.725168897433166e+04, 2.976208127051540e+02, 1.999364424026059e-01, 1.884803530038848e-01, 1.834636773086981e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
24, -6.096000000000000e-02, 3.366286779199566e-03, 1.138319606951306e+00, 7.871116226422799e+01, 4.505341101485125e-05, 2.458505483164840e+05, 9.725169427138865e+04, 2.976208173369390e+02, 1.999362817572838e-01, 1.884823085380269e-01, 1.834636795088353e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
25, -6.096000000000000e-02, 3.072712278436010e-03, 1.138319643894044e+00, 7.871111263576867e+01, 4.111315942328732e-05, 2.458505558433159e+05, 9.725169869010743e+04, 2.976208212006989e+02, 1.999361479082522e-01, 1.884839398127959e-01, 1.834636813441541e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
26, -6.096000000000000e-02, 2.804663803568277e-03, 1.138319674706038e+00, 7.871107130752856e+01, 3.751026613671125e-05, 2.458505621254952e+05, 9.725170237552852e+04, 2.976208244232584e+02, 1.999360364350196e-01, 1.884853003733448e-01, 1.834636828748973e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
27, -6.096000000000000e-02, 2.559914588244420e-03, 1.138319700401130e+00, 7.871103690153384e+01, 3.421648866362494e-05, 2.458505673684780e+05, 9.725170544891714e+04, 2.976208271106521e+02, 1.999359436236662e-01, 1.884864349876013e-01, 1.834636841514321e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
28, -6.096000000000000e-02, 2.336431420682075e-03, 1.138319721826543e+00, 7.871100826024706e+01, 3.120644728157084e-05, 2.458505717435402e+05, 9.725170801161007e+04, 2.976208293514903e+02, 1.999358663553271e-01, 1.884873810664369e-01, 1.834636852158493e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
29, -6.096000000000000e-02, 2.132357753113159e-03, 1.138319739689981e+00, 7.871098441225185e+01, 2.845715806719726e-05, 2.458505753934400e+05, 9.725171014825554e+04, 2.976208312197900e+02, 1.999358020133170e-01, 1.884881698597572e-01, 1.834636861033075e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
30, -6.096000000000000e-02, 1.945998278834355e-03, 1.138319754582388e+00, 7.871096454353125e+01, 2.594764115141541e-05, 2.458505784371845e+05, 9.725171192953628e+04, 2.976208327773562e+02, 1.999357484053750e-01, 1.884888274617607e-01, 1.834636868431647e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
