"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
30, -6.096000000000000e-02, 1.945998278834355e-03, 1.138319754586698e+00, 7.871096453783343e+01, 2.594713049098351e-05, 2.458505784380687e+05, 9.725171193005169e+04, 2.976208327778068e+02, 1.999357483899936e-01, 1.884888276520381e-01, 1.834636868433788e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
31, -6.096000000000000e-02, 1.775804848739819e-03, 1.138319767001356e+00, 7.871094796759608e+01, 2.365810206178033e-05, 2.458505809749078e+05, 9.725171341496916e+04, 2.976208340762312e+02, 1.999357036828535e-01, 1.884893758445152e-01, 1.834636874601414e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
32, -6.096000000000000e-02, 1.620363610340212e-03, 1.138319777349955e+00, 7.871093412772761e+01, 2.157172167752524e-05, 2.458505830876798e+05, 9.725171465276579e+04, 2.976208351585722e+02, 1.999356663466599e-01, 1.884898328064812e-01, 1.834636879742626e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
33, -6.096000000000000e-02, 1.478383262427638e-03, 1.138319785975978e+00, 7.871092254539261e+01, 1.967142754113514e-05, 2.458505848455774e+05, 9.725171568452506e+04, 2.976208360607523e+02, 1.999356351079553e-01, 1.884902137048699e-01, 1.834636884028058e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
34, -6.096000000000000e-02, 1.348684327814154e-03, 1.138319793165942e+00, 7.871091282808827e+01, 1.794180356156218e-05, 2.458505863064519e+05, 9.725171654451759e+04, 2.976208368127387e+02, 1.999356089093431e-01, 1.884905311914979e-01, 1.834636887600058e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
35, -6.096000000000000e-02, 1.230189355029008e-03, 1.138319799158811e+00, 7.871090465087246e+01, 1.636848670368152e-05, 2.458505875187192e+05, 9.725171726132577e+04, 2.976208374395241e+02, 1.999355868750625e-01, 1.884907958182273e-01, 1.834636890577341e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
36, -6.096000000000000e-02, 1.121913967576857e-03, 1.138319804153851e+00, 7.871089774542654e+01, 1.493809915902048e-05, 2.458505885229353e+05, 9.725171785878389e+04, 2.976208379619492e+02, 1.999355682815507e-01, 1.884910163840513e-01, 1.834636893058905e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
37, -6.096000000000000e-02, 1.022958686400276e-03, 1.138319808317207e+00, 7.871089189071948e+01, 1.363819594826479e-05, 2.458505893531002e+05, 9.725171835676418e+04, 2.976208383973901e+02, 1.999355525323429e-01, 1.884912002252789e-01, 1.834636895127286e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
38, -6.096000000000000e-02, 9.325014576129875e-04, 1.138319811787383e+00, 7.871088690504186e+01, 1.245722145142456e-05, 2.458505900377347e+05, 9.725171877183330e+04, 2.976208387603329e+02, 1.999355391366813e-01, 1.884913534578840e-01, 1.834636896851295e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
39, -6.096000000000000e-02, 8.497908234294216e-04, 1.138319814679834e+00, 7.871088263923789e+01, 1.138447048828188e-05, 2.458505906007733e+05, 9.725171911780089e+04, 2.976208390628532e+02, 1.999355276913569e-01, 1.884914811800214e-01, 1.834636898288292e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
