0.119000	1.150287	2.573052	0.101807
0.120000	1.164514	2.602570	0.104495
0.121000	1.178895	2.632452	0.107248
0.122000	1.193431	2.662702	0.110065
0.123000	1.208123	2.693324	0.112949
0.124000	1.222975	2.724322	0.115902
0.125000	1.237989	2.755699	0.118925
0.126000	1.253166	2.787460	0.122019
0.127000	1.268509	2.819608	0.125187
0.128000	1.284020	2.852148	0.128430
0.129000	1.299701	2.885083	0.131749
0.130000	1.315555	2.918419	0.135148
0.131000	1.331584	2.952158	0.138627
0.132000	1.347789	2.986306	0.142188
0.133000	1.364174	3.020866	0.145834
0.134000	1.380741	3.055843	0.149566
0.135000	1.397492	3.091241	0.153386
0.136000	1.414430	3.127065	0.157297
0.137000	1.431556	3.163320	0.161301
0.138000	1.448874	3.200009	0.165399
0.139000	1.466385	3.237138	0.169595
